environment: 
YAML: configs/bt.sc.c10.yaml
==> SEED: 42
==> num_classes: 10
==> data_name: cifar10
==> data_params: {'algo': 'bt-sc', 'data_dir': 'datasets/cifar10', 'batch_size': 512, 'num_workers': 3, 'image_size': 32}
==> return_logs: False
==> eval_every: 10
==> n_epochs: 800
==> n_epochs_mlp: 100
==> gpu_id: 2
==> opt: SGD
==> opt_params: {'lr': 0.4, 'momentum': 0.9, 'weight_decay': 0.0001}
==> schedular_params: {'T_max': 800, 'eta_min': 0.001}
==> mlp_opt: SGD
==> mlp_opt_params: {'lr': 0.1, 'momentum': 0.9}
==> energy_model_params: {'eta': 0.01, 'steps': 5, 'sigma': 0.2, 'delta': 0.1, 'net_type': 'energy'}
==> energy_opt: AdamW
==> energy_model_opt_params: {'lr': 0.001}
==> warmup_epochs: 0
==> model_params: {'model_name': 'resnet18', 'pretrained': False, 'proj_dim': 4096, 'barlow_hidden': 4096}
==> mlp_type: linear
==> loss: bt-sc
==> loss_params: {'lambd': 0.005}
==> distributed: False
==> train_algo: bt-sc
==> model_save_path: saved_models/bt.en.c10.r18.e800.pth
==> config: configs/bt.sc.c10.yaml
--------------------------------------------------
===> using linear mlp
using optimizer: SGD
using optimizer: SGD
loss function: bt-sc
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
# of Training Images: 50000
# of Testing Images: 10000
using optimizer: AdamW
### Barlow Twins with SC-net Training begins
[GPU2] epochs: [1/800] train_loss_con: 4572.510 energy_loss: 255.997
[GPU2] epochs: [2/800] train_loss_con: 3845.137 energy_loss: 256.035
[GPU2] epochs: [3/800] train_loss_con: 3804.612 energy_loss: 256.096
[GPU2] epochs: [4/800] train_loss_con: 3762.257 energy_loss: 255.999
[GPU2] epochs: [5/800] train_loss_con: 3788.510 energy_loss: 255.933
[GPU2] epochs: [6/800] train_loss_con: 3799.724 energy_loss: 255.970
[GPU2] epochs: [7/800] train_loss_con: 3762.286 energy_loss: 255.977
[GPU2] epochs: [8/800] train_loss_con: 3754.574 energy_loss: 255.962
[GPU2] epochs: [9/800] train_loss_con: 3712.849 energy_loss: 256.003
[GPU2] epochs: [10/800] train_loss_con: 3665.686 energy_loss: 255.961
[GPU2] epochs: [11/800] train_loss_con: 3637.891 energy_loss: 256.108
[GPU2] epochs: [12/800] train_loss_con: 3636.115 energy_loss: 256.028
[GPU2] epochs: [13/800] train_loss_con: 3620.016 energy_loss: 255.971
[GPU2] epochs: [14/800] train_loss_con: 3628.885 energy_loss: 256.013
[GPU2] epochs: [15/800] train_loss_con: 3601.292 energy_loss: 255.985
[GPU2] epochs: [16/800] train_loss_con: 3613.679 energy_loss: 256.047
[GPU2] epochs: [17/800] train_loss_con: 3614.383 energy_loss: 256.025
[GPU2] epochs: [18/800] train_loss_con: 3602.374 energy_loss: 255.898
[GPU2] epochs: [19/800] train_loss_con: 3592.918 energy_loss: 256.028
[GPU2] epochs: [20/800] train_loss_con: 3571.239 energy_loss: 256.036
[GPU2] epochs: [21/800] train_loss_con: 3525.241 energy_loss: 255.978
[GPU2] epochs: [22/800] train_loss_con: 3488.190 energy_loss: 255.946
[GPU2] epochs: [23/800] train_loss_con: 3419.556 energy_loss: 256.077
[GPU2] epochs: [24/800] train_loss_con: 3360.966 energy_loss: 255.957
[GPU2] epochs: [25/800] train_loss_con: 3361.120 energy_loss: 255.927
[GPU2] epochs: [26/800] train_loss_con: 3355.538 energy_loss: 256.002
[GPU2] epochs: [27/800] train_loss_con: 3339.188 energy_loss: 255.929
[GPU2] epochs: [28/800] train_loss_con: 3360.324 energy_loss: 255.955
[GPU2] epochs: [29/800] train_loss_con: 3333.414 energy_loss: 256.013
[GPU2] epochs: [30/800] train_loss_con: 3270.141 energy_loss: 256.110
[GPU2] epochs: [31/800] train_loss_con: 3242.610 energy_loss: 256.056
[GPU2] epochs: [32/800] train_loss_con: 3187.447 energy_loss: 255.967
